year,students,us_students,undergraduate,graduate,non_degree,opt
1948/49,25464.0,2403400.0,,,,
1949/50,26433.0,2445000.0,,,,
1950/51,29813.0,2281000.0,,,,
1951/52,30462.0,2102000.0,,,,
1952/53,33675.0,2134000.0,,,,
1953/54,33833.0,2231000.0,,,,
1954/55,34232.0,2447000.0,19101.0,12118.0,,
1955/56,36494.0,2653000.0,,,,
1956/57,40666.0,2918000.0,,,,
1957/58,43391.0,3324000.0,,,,
1958/59,47245.0,,,,,
1959/60,48486.0,3640000.0,25164.0,18910.0,,
1960/61,53107.0,,,,,
1961/62,58086.0,4146000.0,,,,
1962/63,64705.0,,,,,
1963/64,74814.0,4780000.0,,,,
1964/65,82045.0,5280000.0,38130.0,35096.0,,
1965/66,82709.0,5921000.0,,,,
1966/67,100262.0,6390000.0,,,,
1967/68,110315.0,6912000.0,,,,
1968/69,121362.0,7513000.0,,,,
1969/70,134959.0,8005000.0,63296.0,59112.0,,
1970/71,144708.0,8581000.0,,,,
1971/72,140126.0,8949000.0,,,,
1972/73,146097.0,9215000.0,,,,
1973/74,151066.0,9602000.0,,,,
1974/75,154580.0,10224000.0,,,,
1975/76,179344.0,11185000.0,95949.0,83395.0,,
1976/77,203068.0,11012000.0,,,,
1977/78,235509.0,11286000.0,,,,
1978/79,263938.0,11260000.0,,,,
1979/80,286343.0,11570000.0,172520.0,94130.0,16850.0,2840.0
1980/81,311882.0,12097000.0,186660.0,99110.0,21660.0,3450.0
1981/82,326299.0,12372000.0,195150.0,106290.0,21980.0,2880.0
1982/83,336985.0,12426000.0,202760.0,110270.0,20340.0,3620.0
1983/84,338894.0,12465000.0,197480.0,118820.0,19190.0,3400.0
1984/85,342113.0,12242000.0,197640.0,122590.0,17570.0,4310.0
1985/86,343777.0,12247000.0,187660.0,132430.0,19540.0,4150.0
1986/87,349609.0,12504000.0,181230.0,146100.0,17550.0,4730.0
1987/88,356187.0,12767000.0,176669.0,156366.0,18352.0,4800.0
1988/89,366354.0,13055000.0,172551.0,165590.0,21189.0,7020.0
1989/90,386851.0,13539000.0,184527.0,169827.0,24785.0,7712.0
1990/91,407529.0,13819000.0,189900.0,182130.0,26730.0,8770.0
1991/92,419585.0,14359000.0,197070.0,191330.0,22960.0,8230.0
1992/93,438618.0,14487000.0,210080.0,193330.0,24200.0,11010.0
1993/94,449749.0,14305000.0,213610.0,201030.0,23680.0,11430.0
1994/95,452635.0,14279000.0,221500.0,191738.0,26188.0,13209.0
1995/96,453787.0,14262000.0,218620.0,190092.0,29625.0,15450.0
1996/97,457984.0,14368000.0,218743.0,190244.0,30872.0,18125.0
1997/98,481280.0,14502000.0,223276.0,207510.0,33912.0,16582.0
1998/99,490933.0,14507000.0,235802.0,211426.0,26863.0,16842.0
1999/00,514723.0,14791000.0,237211.0,218219.0,34436.0,24857.0
2000/01,547867.0,15312000.0,254429.0,238497.0,33883.0,21058.0
2001/02,582996.0,15928000.0,261079.0,264749.0,34423.0,22745.0
2002/03,586323.0,16612000.0,260103.0,267876.0,30551.0,27793.0
2003/04,572509.0,16911000.0,248200.0,274310.0,20659.0,29340.0
2004/05,565039.0,17272000.0,239212.0,264410.0,28418.0,32999.0
2005/06,564766.0,17487000.0,236342.0,259717.0,30611.0,38096.0
2006/07,582984.0,17672000.0,238050.0,264288.0,38986.0,41660.0
2007/08,623805.0,18248000.0,243360.0,276842.0,46837.0,56766.0
2008/09,671616.0,19103000.0,269874.0,283329.0,51812.0,66601.0
2009/10,690923.0,20428000.0,274431.0,293885.0,54803.0,67804.0
2010/11,723277.0,20550000.0,291439.0,296574.0,59233.0,76031.0
2011/12,764495.0,20625000.0,309342.0,300430.0,69566.0,85157.0
2012/13,819644.0,21253000.0,339993.0,311204.0,73528.0,94919.0
2013/14,886052.0,21216000.0,370724.0,329854.0,79477.0,105997.0
2014/15,974926.0,20300000.0,398824.0,362228.0,93587.0,120287.0
2015/16,1043839.0,20264000.0,427313.0,383935.0,85093.0,147498.0
2016/17,1078822.0,20185000.0,439019.0,391124.0,72984.0,175695.0
2017/18,1094792.0,19831000.0,442746.0,382953.0,65631.0,203462.0
2018/19,1095299.0,19828000.0,431930.0,377943.0,62341.0,223085.0
2019/20,1075496.0,19720000.0,419321.0,374435.0,58201.0,223539.0
2020/21,914095.0,19744000.0,359787.0,329272.0,21151.0,203885.0
2021/22,948519.0,20327000.0,344532.0,385097.0,34131.0,184759.0
2022/23,1057188.0,18961280.0,347602.0,467027.0,43766.0,198793.0
2023/24,1126690.0,18939568.0,342875.0,502291.0,38742.0,242782.0
2024/25,1177766.0,19247640.0,357231.0,488481.0,37801.0,294253.0
