year,academic_type,source_type,source_of_fund,students
1999/00,Undergraduate,International,Personal and Family,201827
1999/00,Undergraduate,International,Foreign Government or University,9741
1999/00,Undergraduate,International,Foreign Private Sponsor,6244
1999/00,Undergraduate,International,International Organization,749
1999/00,Undergraduate,U.S.,Current Employment,749
1999/00,Undergraduate,U.S.,U.S. College or University,20482
1999/00,Undergraduate,U.S.,U.S. Government,1498
1999/00,Undergraduate,U.S.,U.S. Private Sponsor,7993
1999/00,Undergraduate,Other,Other Sources,749
1999/00,Graduate,International,Personal and Family,106380
1999/00,Graduate,International,Foreign Government or University,12170
1999/00,Graduate,International,Foreign Private Sponsor,6310
1999/00,Graduate,International,International Organization,1577
1999/00,Graduate,U.S.,Current Employment,3831
1999/00,Graduate,U.S.,U.S. College or University,84969
1999/00,Graduate,U.S.,U.S. Government,1803
1999/00,Graduate,U.S.,U.S. Private Sponsor,5409
1999/00,Graduate,Other,Other Sources,2929
1999/00,Other,International,Personal and Family,25789
1999/00,Other,International,Foreign Government or University,1542
1999/00,Other,International,Foreign Private Sponsor,1226
1999/00,Other,International,International Organization,514
1999/00,Other,U.S.,Current Employment,6921
1999/00,Other,U.S.,U.S. College or University,2294
1999/00,Other,U.S.,U.S. Government,118
1999/00,Other,U.S.,U.S. Private Sponsor,355
1999/00,Other,Other,Other Sources,791
2000/01,Undergraduate,International,Personal and Family,210504
2000/01,Undergraduate,International,Foreign Government or University,9390
2000/01,Undergraduate,International,Foreign Private Sponsor,7042
2000/01,Undergraduate,International,International Organization,782
2000/01,Undergraduate,U.S.,Current Employment,1043
2000/01,Undergraduate,U.S.,U.S. College or University,21911
2000/01,Undergraduate,U.S.,U.S. Government,1043
2000/01,Undergraduate,U.S.,U.S. Private Sponsor,7303
2000/01,Undergraduate,Other,Other Sources,1565
2000/01,Graduate,International,Personal and Family,114622
2000/01,Graduate,International,Foreign Government or University,10997
2000/01,Graduate,International,Foreign Private Sponsor,5132
2000/01,Graduate,International,International Organization,1221
2000/01,Graduate,U.S.,Current Employment,3421
2000/01,Graduate,U.S.,U.S. College or University,97514
2000/01,Graduate,U.S.,U.S. Government,2199
2000/01,Graduate,U.S.,U.S. Private Sponsor,5621
2000/01,Graduate,Other,Other Sources,3421
