year,female,male,single,married,full_time,part_time,visa_f,visa_j,visa_other
2007/08,278840.0,344964.0,543957.0,79847.0,575772.0,48032.0,552691.0,31814.0,39299.0
2008/09,304242.0,367373.0,591693.0,79922.0,613185.0,58430.0,589007.0,39625.0,42983.0
2009/10,309533.0,381389.0,615612.0,75310.0,637721.0,53201.0,612157.0,38691.0,40073.0
2010/11,322581.0,400695.0,653842.0,69434.0,669031.0,54245.0,645163.0,40503.0,37610.0
2011/12,338671.0,425823.0,690338.0,74156.0,714038.0,50456.0,688809.0,42047.0,32873.0
2012/13,363921.0,455722.0,744236.0,75407.0,769645.0,49998.0,747515.0,42621.0,29507.0
2013/14,390748.0,495303.0,806307.0,79744.0,829344.0,56707.0,804535.0,49618.0,31897.0
2014/15,426042.0,548883.0,886207.0,88718.0,912530.0,62395.0,881333.0,58495.0,35097.0
2015/16,451982.0,591856.0,950937.0,92901.0,971814.0,72024.0,957200.0,52191.0,34446.0
2016/17,470366.0,608455.0,970939.0,107882.0,1007619.0,71202.0,994673.0,45310.0,37758.0
2017/18,477329.0,617462.0,999545.0,95246.0,1028009.0,66782.0,1015966.0,44886.0,32843.0
2018/19,480836.0,614462.0,1002198.0,93100.0,1030676.0,64622.0,1018628.0,44907.0,31763.0
2019/20,477520.0,597975.0,987305.0,88190.0,1016343.0,59152.0,1000211.0,44095.0,31189.0
2020/21,407686.0,506408.0,827255.0,86839.0,843709.0,70385.0,860163.0,16453.0,38391.0
2021/22,428730.0,519788.0,861255.0,87263.0,884019.0,64499.0,884019.0,27507.0,37940.0
2022/23,473620.0,582510.0,966269.0,90918.0,986356.0,70831.0,989527.0,34887.0,32772.0
2023/24,500250.0,626439.0,1006533.0,120156.0,1057675.0,69014.0,1056835.0,34927.0,34927.0
2024/25,524105.0,653660.0,1080011.0,97754.0,1108277.0,69488.0,1103566.0,37688.0,36510.0
