geounit,country,avg_value,category_avg,PIB_ per_ cápita_ PP_ aprox_ (USD 2023)
CHN,China,-857121.00,Exporting Country,"$25,189.00"
IND,India,-580967.75,Exporting Country,"$10,323.00"
VNM,Vietnam,-129155.00,Exporting Country,"$15,033.00"
UZB,Uzbekistán,-123017.33,Exporting Country,"$11,107.00"
TKM,Turkmenistán,-67144.50,Exporting Country,"$19,828.00"
BRA,Brasil,-64818.25,Exporting Country,"$17,896.00"
BGD,Bangladesh,-61601.00,Exporting Country,"$9,148.00"
COL,Colombia,-53746.33,Exporting Country,"$17,520.00"
MAR,Marruecos,-46149.50,Exporting Country,"$9,842.00"
IRN,Irán,-45025.00,Exporting Country,"$25,430.00"
AZE,Azerbaiyán,-41103.25,Exporting Country,"$21,230.00"
KAZ,Kazajistán,-39050.00,Exporting Country,"$38,515.00"
AFG,Afganistán,-33144.00,Exporting Country,"$5,200.00"
LKA,Sri Lanka,-31635.25,Exporting Country,"$13,850.00"
PSE,Palestina,-31137.50,Exporting Country,"$11,500.00"
DZA,Argelia,-27387.75,Exporting Country,"$18,230.00"
ECU,Ecuador,-24414.67,Exporting Country,"$17,980.00"
CMR,Camerún,-21460.50,Exporting Country,"$4,230.00"
TCD,Chad,-19981.00,Exporting Country,"$3,460.00"
UKR,Ucrania,-18920.67,Exporting Country,"$18,400.00"
TUN,Túnez,-18317.75,Exporting Country,"$13,900.00"
GHA,Ghana,-16146.25,Exporting Country,"$6,300.00"
GRC,Grecia,-14443.25,Exporting Country,"$39,800.00"
MDA,Moldavia,-14207.75,Exporting Country,"$14,500.00"
CIV,Costa de Marfil,-14124.25,Exporting Country,"$5,200.00"
MNG,Mongolia,-14033.00,Exporting Country,"$18,000.00"
COD,Congo (RD),-13869.00,Exporting Country,"$3,400.00"
SVK,Eslovaquia,-13593.00,Exporting Country,"$49,200.00"
CYP,Chipre,-13291.50,Exporting Country,"$49,000.00"
OMN,Omán,-12588.00,Exporting Country,"$60,000.00"
ALB,Albania,-11903.25,Exporting Country,"$18,200.00"
BIH,Bosnia,-9510.00,Exporting Country,"$18,500.00"
LUX,Luxemburgo,-9256.50,Exporting Country,"$138,000.00"
LAO,Laos,-8912.00,Exporting Country,"$12,100.00"
GIN,Guinea,-8379.00,Exporting Country,"$2,600.00"
KHM,Camboya,-6925.00,Exporting Country,"$5,000.00"
TZA,Tanzania,-6293.50,Exporting Country,"$3,500.00"
MRT,Mauritania,-5708.00,Exporting Country,"$4,200.00"
BEN,Benín,-5621.67,Exporting Country,"$3,200.00"
ISR,Israel,-5335.75,Exporting Country,"$62,500.00"
HRV,Croacia,-4857.00,Exporting Country,"$29,500.00"
BFA,Burkina Faso,-4524.50,Exporting Country,"$2,900.00"
MDG,Madagascar,-4494.00,Exporting Country,"$1,700.00"
THA,Tailandia,-4451.33,Exporting Country,"$20,900.00"
SLV,El Salvador,-4194.25,Exporting Country,"$13,000.00"
MUS,Mauricio,-4079.33,Exporting Country,"$26,500.00"
ITA,Italia,-3832.75,Exporting Country,"$48,000.00"
BGR,Bulgaria,-3824.75,Exporting Country,"$31,000.00"
SRB,Serbia,-3649.50,Exporting Country,"$25,500.00"
BLR,Bielorrusia,-2670.50,Exporting Country,"$26,000.00"
CHL,Chile,-2640.50,Exporting Country,"$29,800.00"
TTO,Trinidad y Tobago,-2155.00,Exporting Country,"$34,500.00"
BRN,Brunéi,-1858.50,Exporting Country,"$87,000.00"
NOR,Noruega,-1791.50,Exporting Country,"$95,000.00"
NAM,Namibia,-1767.00,Exporting Country,"$12,500.00"
GTM,Guatemala,-1744.00,Exporting Country,"$10,200.00"
URY,Uruguay,-1708.00,Exporting Country,"$28,000.00"
CRI,Costa Rica,-1473.00,Exporting Country,"$24,000.00"
RWA,Ruanda,-1458.33,Exporting Country,"$2,600.00"
AND,Andorra,-1380.75,Exporting Country,"$78,000.00"
MKD,Macedonia del Norte,-1295.75,Exporting Country,"$18,500.00"
TON,Tonga,-1244.00,Exporting Country,"$7,500.00"
GIB,Gibraltar,-1215.00,Exporting Country,"$85,000.00"
SUR,Surinam,-1047.00,Exporting Country,"$15,000.00"
BWA,Botswana,-1012.25,Exporting Country,"$19,500.00"
NIC,Nicaragua,-952.00,Exporting Country,"$6,300.00"
BMU,Bermuda,-929.00,Exporting Country,"$112,000.00"
WSM,Samoa,-884.75,Exporting Country,"$6,500.00"
ISL,Islandia,-801.50,Exporting Country,"$80,000.00"
BLZ,Belice,-789.50,Exporting Country,"$10,800.00"
SYC,Seychelles,-632.50,Exporting Country,"$31,500.00"
LCA,Santa Lucía,-514.67,Exporting Country,"$13,500.00"
BTN,Bután,-489.00,Exporting Country,"$12,000.00"
LIE,Liechtenstein,-373.50,Exporting Country,"$170,000.00"
MHL,Islas Marshall,-316.00,Exporting Country,"$8,500.00"
LTU,Lituania,-294.75,Exporting Country,"$48,500.00"
COK,Islas Cook,-241.00,Exporting Country,"$15,000.00"
VGB,Islas Vírgenes Británicas,-233.00,Exporting Country,"$37,000.00"
TKL,Tokelau,-75.00,Exporting Country,"$5,500.00"
TCA,Islas Turcas y Caicos,-29.67,Exporting Country,"$29,000.00"
USA,Estados Unidos,794231.59,Importing Country,"$82,304.00"
GBR,Reino Unido,603312.00,Importing Country,"$52,518.00"
AUS,Australia,407720.00,Importing Country,"$70,513.00"
RUS,Rusia,301042.50,Importing Country,"$29,560.00"
CAN,Canadá,289703.00,Importing Country,"$56,692.00"
DEU,Alemania,266931.00,Importing Country,"$68,692.00"
ARE,Emiratos Árabes Unidos,202943.50,Importing Country,"$76,110.00"
JPN,Japón,173204.00,Importing Country,"$49,885.00"
TUR,Turquía,163057.00,Importing Country,"$42,326.00"
FRA,Francia,150520.21,Importing Country,"$54,465.00"
ARG,Argentina,114704.75,Importing Country,"$25,610.00"
NLD,Países Bajos,111429.00,Importing Country,"$70,902.00"
AUT,Austria,56764.85,Importing Country,"$63,314.00"
POL,Polonia,53987.50,Importing Country,"$46,450.00"
MYS,Malasia,48365.75,Importing Country,"$36,416.00"
KGZ,Kirguistán,47390.50,Importing Country,"$13,800.00"
CHE,Suiza,43408.50,Importing Country,"$90,360.00"
SGP,Singapur,42393.50,Importing Country,"$138,910.00"
ESP,España,40252.50,Importing Country,"$48,373.00"
CZE,República Checa,40251.25,Importing Country,"$46,980.00"
BEL,Bélgica,37818.75,Importing Country,"$63,000.00"
TGO,Togo,33106.00,Importing Country,"$3,200.00"
PRT,Portugal,31674.00,Importing Country,"$42,000.00"
NZL,Nueva Zelanda,29369.27,Importing Country,"$58,000.00"
KOR,Corea del Sur,28286.75,Importing Country,"$55,000.00"
HUN,Hungría,25878.75,Importing Country,"$42,500.00"
DNK,Dinamarca,24879.00,Importing Country,"$68,000.00"
MAC,Macao,23986.75,Importing Country,"$87,000.00"
ZAF,Sudáfrica,21836.75,Importing Country,"$14,500.00"
MEX,México,20992.25,Importing Country,"$22,500.00"
SWE,Suecia,18897.87,Importing Country,"$60,000.00"
DOM,República Dominicana,17426.50,Importing Country,"$22,000.00"
FIN,Finlandia,16576.00,Importing Country,"$55,000.00"
HKG,Hong Kong,15941.75,Importing Country,"$67,000.00"
SAU,Arabia Saudita,15234.33,Importing Country,"$65,000.00"
QAT,Catar,9148.25,Importing Country,"$105,000.00"
IRL,Irlanda,8865.67,Importing Country,"$120,000.00"
JOR,Jordania,8728.50,Importing Country,"$12,500.00"
GEO,Georgia,8493.00,Importing Country,"$16,500.00"
LBN,Líbano,7259.00,Importing Country,"$8,500.00"
LVA,Letonia,4960.00,Importing Country,"$44,500.00"
SVN,Eslovenia,4399.25,Importing Country,"$47,000.00"
CUB,Cuba,3649.33,Importing Country,"$9,500.00"
MLT,Malta,2910.83,Importing Country,"$52,000.00"
ROU,Rumanía,2867.75,Importing Country,"$35,000.00"
BDI,Burundi,1997.00,Importing Country,$800.00
EST,Estonia,1608.75,Importing Country,"$46,000.00"
EGY,Egipto,1369.67,Importing Country,"$13,300.00"
BHR,Bahréin,1135.50,Importing Country,"$63,000.00"
ARM,Armenia,1070.00,Importing Country,"$15,000.00"
PAN,Panamá,405.00,Importing Country,"$28,500.00"
SMR,San Marino,148.25,Importing Country,"$65,000.00"
MCO,Mónaco,119.25,Importing Country,"$190,000.00"
SEN,Senegal,58.25,Importing Country,"$5,000.00"
